beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.345034424,0.403209554,0.48514139,0.606914122,122.8346505,2.177761874,0.136670482,52.67178639,130.1577736,0.055155088,0.009739401,1,0.38
0.549496918,0.394176509,0.509062323,0.733219488,111.3713628,3.850422971,0.079367103,56.21085513,69.3411706,0.098713891,0.006378706,1,0.38
0.277909249,0.374749614,0.626580274,0.733691304,245.6329906,1.606399932,0.205067066,57.87560856,104.1148778,0.069884877,0.009501204,1,0.38
0.429076321,0.437462269,0.556676446,0.537971964,163.4528216,3.135224941,0.106180157,75.10345612,99.57322204,0.08280221,0.002453928,1,0.38
0.465885286,0.328371074,0.986338544,0.109910082,181.2682229,3.343812467,0.149918739,60.72302905,122.6008892,0.042300654,0.006926107,1,0.38
0.372500752,0.320415193,1.149112258,0.733170526,205.7230955,2.619208591,0.204937781,57.02403505,85.96069727,0.052397288,0.003325041,1,0.38
0.451246076,0.354645667,0.488341617,0.48267249,150.069654,3.088557808,0.090477819,61.53109039,98.12101552,0.075949428,0.005027191,1,0.38
0.372140227,0.366331076,0.940258387,0.184057296,129.2581478,2.305078104,0.195495818,57.47248373,128.1767171,0.03798783,0.009458357,1,0.38
0.371383389,0.332090761,0.691958408,0.619729139,284.3306969,2.75061073,0.140952517,62.83870357,56.43353386,0.066917595,0.005828494,1,0.38
0.310332413,0.397142251,0.575357666,0.562672878,235.2556135,2.019602522,0.159421961,47.77431025,101.2131184,0.067408259,0.00226797,1,0.38
0.395611525,0.339400687,0.665222667,0.802050283,162.0497139,2.921567684,0.131936337,55.29110567,85.4307997,0.071150073,0.003918758,1,0.38
0.445748215,0.319398864,0.818420299,0.723935842,133.9405922,3.27004105,0.153239992,46.20469816,64.64485553,0.062569502,0.006287798,1,0.38
0.460654142,0.33396164,0.813490592,0.789863316,149.0046028,3.525754647,0.149271589,60.30044055,124.961455,0.068515653,0.004689915,1,0.38
